Node,Depth,Value
B3,5,37
B5,5,37
B4,5,17
B5,5,37
B5,5,1
B5,5,37
A2,4,37
B5,3,37
A3,4,-Infinity
B2,5,14
A3,4,14
B3,5,25
A3,4,25
B4,5,25
A3,4,25
B5,5,11
A3,4,25
B5,3,25
A4,4,-Infinity
B2,5,3
A4,4,3
B3,5,14
A4,4,14
B4,5,14
A4,4,14
B5,5,-Infinity
B2,5,7
B5,5,7
B3,5,18
B5,5,18
B4,5,18
B5,5,18
B5,5,2
B5,5,18
A4,4,18
B5,3,18
A5,4,-Infinity
B2,5,3
A5,4,3
B3,5,14
A5,4,14
B4,5,14
A5,4,14
B5,5,-Infinity
B2,5,7
B5,5,7
B3,5,18
B5,5,18
B4,5,18
B5,5,18
B5,5,2
B5,5,18
A5,4,18
B5,3,18
A3,2,18
B2,1,3
A4,2,Infinity
A2,2,-Infinity
B2,3,Infinity
A2,4,-Infinity
B2,5,-13
A2,4,-13
B3,5,2
A2,4,2
B4,5,2
A2,4,2
B5,5,2
A2,4,2
B2,3,2
A3,4,-Infinity
B2,5,-26
A3,4,-26
B3,5,-10
A3,4,-10
B4,5,-10
A3,4,-10
B5,5,-10
A3,4,-10
B2,3,-10
A4,4,Infinity
A2,4,-Infinity
B2,5,-18
A2,4,-18
B3,5,-2
A2,4,-2
B4,5,-Infinity
B2,5,1
B4,5,1
B3,5,-Infinity
B2,5,22
B3,5,22
B3,5,19
B3,5,22
B4,5,21
B3,5,22
B5,5,38
B3,5,38
B4,5,38
B4,5,0
B4,5,38
B5,5,-Infinity
B2,5,22
B5,5,22
B3,5,-Infinity
B2,5,45
B3,5,45
B3,5,40
B3,5,45
B4,5,44
B3,5,45
B5,5,43
B3,5,45
B5,5,45
B4,5,21
B5,5,45
B5,5,19
B5,5,45
B4,5,45
A2,4,45
B5,5,-2
A2,4,45
A4,4,45
A3,4,-Infinity
B2,5,-29
A3,4,-29
B3,5,-14
A3,4,-14
B4,5,-14
A3,4,-14
B5,5,-14
A3,4,-14
A4,4,-14
A4,4,Infinity
A2,4,-Infinity
B2,5,-19
A2,4,-19
B3,5,-3
A2,4,-3
B4,5,-3
A2,4,-3
B5,5,-3
A2,4,-3
A4,4,-3
A3,4,Infinity
A2,4,-Infinity
B2,5,-36
A2,4,-36
B3,5,-20
A2,4,-20
B4,5,-Infinity
B2,5,-15
B4,5,-15
B3,5,1
B4,5,1
B4,5,-18
B4,5,1
B5,5,1
B4,5,1
A2,4,1
B5,5,-20
A2,4,1
A3,4,1
A3,4,-Infinity
B2,5,-33
A3,4,-33
B3,5,-18
A3,4,-18
B4,5,-18
A3,4,-18
B5,5,-18
A3,4,-18
A3,4,-18
A4,4,-Infinity
B2,5,-33
A4,4,-33
B3,5,-18
A4,4,-18
B4,5,-18
A4,4,-18
B5,5,-18
A4,4,-18
A3,4,-18
A5,4,-Infinity
B2,5,-47
A5,4,-47
B3,5,-32
A5,4,-32
B4,5,-32
A5,4,-32
B5,5,-32
A5,4,-32
A3,4,-32
A4,4,-32
A5,4,-Infinity
B2,5,-30
A5,4,-30
B3,5,-15
A5,4,-15
B4,5,-15
A5,4,-15
B5,5,-15
A5,4,-15
A4,4,-32
A4,4,-32
A5,4,-Infinity
B2,5,-29
A5,4,-29
B3,5,-14
A5,4,-14
B4,5,-14
A5,4,-14
B5,5,-14
A5,4,-14
A4,4,-32
B2,3,-32
A5,4,-Infinity
B2,5,-26
A5,4,-26
B3,5,-10
A5,4,-10
B4,5,-10
A5,4,-10
B5,5,-10
A5,4,-10
B2,3,-32
A2,2,-32
B3,3,-Infinity
B2,3,Infinity
A2,4,-Infinity
B2,5,8
A2,4,8
B3,5,5
A2,4,8
B4,5,20
A2,4,20
B5,5,-Infinity
B2,5,24
B5,5,24
B3,5,26
B5,5,26
B4,5,41
B5,5,41
B5,5,23
B5,5,41
A2,4,41
B2,3,41
A3,4,-Infinity
B2,5,-9
A3,4,-9
B3,5,-Infinity
B2,5,-4
B3,5,-4
B3,5,-6
B3,5,-4
B4,5,-Infinity
B2,5,19
B4,5,19
B3,5,17
B4,5,19
B4,5,-Infinity
B2,5,-Infinity
B2,5,24
B2,5,24
B3,5,27
B2,5,27
B4,5,24
B2,5,27
B5,5,47
B2,5,47
B4,5,47
B3,5,20
B4,5,47
B4,5,-Infinity
B2,5,-Infinity
B2,5,25
B2,5,25
B3,5,28
B2,5,28
B4,5,25
B2,5,28
B5,5,48
B2,5,48
B4,5,48
B3,5,21
B4,5,48
B5,5,41
B4,5,48
B4,5,48
B5,5,40
B4,5,48
B4,5,48
B5,5,37
B4,5,48
B3,5,48
B5,5,-Infinity
B2,5,19
B5,5,19
B3,5,17
B5,5,19
B4,5,37
B5,5,37
B5,5,17
B5,5,37
B3,5,48
A3,4,48
B4,5,8
A3,4,48
B5,5,8
A3,4,48
B2,3,41
A4,4,-Infinity
B2,5,2
A4,4,2
B3,5,4
A4,4,4
B4,5,-Infinity
B2,5,23
B4,5,23
B3,5,25
B4,5,25
B4,5,22
B4,5,25
